USERNAME,GRADE,SYMBOL,2022-2023\registers\1100 10112022 - Practical - Group B.txt,2022-2023\registers\1100 13102022 - Practical - Group B.txt,2022-2023\registers\1100 17112022 - Practical - Group B.txt,2022-2023\registers\1100 20102022 - Practical - Group B.txt,2022-2023\registers\1100 2292022 - Practical - Group B.txt,2022-2023\registers\1100 24112022 - Practical - Group B.txt,2022-2023\registers\1100 27102022 - Practical - Group B.txt,2022-2023\registers\1100 2992022 - Practical - Group B.txt,2022-2023\registers\1100 3112022 - Practical - Group B.txt,2022-2023\registers\1100 6102022 - Practical - Group B.txt,2022-2023\registers\1130 8122022 - Practical - Group B.txt,2022-2023\registers\900 10112022 - Practical - Group A.txt,2022-2023\registers\900 13102022 - Practical - Group A.txt,2022-2023\registers\900 17112022 - Practical - Group A.txt,2022-2023\registers\900 20102022 - Practical - Group A.txt,2022-2023\registers\900 2292022 - Pratical - Group A.txt,2022-2023\registers\900 24112022 - Practical - Group A.txt,2022-2023\registers\900 27102022 - Practical - Group A.txt,2022-2023\registers\900 2992022 - Practical - Group A.txt,2022-2023\registers\900 3112022 - Practical - Group A.txt,2022-2023\registers\900 6102022 - Practical - Group A.txt,2022-2023\registers\930 8122022 - Practical - Group A.txt,2022-2023\registers\A 900 10102022 - Lecture.txt,2022-2023\registers\A 900 14112022 - Lecture.txt,2022-2023\registers\A 900 21112022 - Lecture.txt,2022-2023\registers\A 900 24102022 - Lecture.txt,2022-2023\registers\A 900 2692022 - Lecture.txt,2022-2023\registers\A 900 28112022 - Lecture.txt,2022-2023\registers\A 900 3102022 - Lecture.txt,2022-2023\registers\A 900 31102022 - Lecture.txt,2022-2023\registers\A 900 5122022 - Lecture.txt,2022-2023\registers\A 900 7112022 - Lecture.txt,ATTENDANCE PERCENT,ATTENDANCE EXPECTED PERCENT,PRACTICAL PERCENT,LECTURE PERCENT,ACTIVITY COUNT,NORMALISED ACTIVITY COUNT
6e50b8a21c42d2d134205526ddff1607469bc40d58b3e5bd1df1a0836db83582,2.0,C,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,41.0,19.0,41.0,40.0,25,0.33783783783783783
8aa153ce105204a3c9ab3218f48ffa3050eb8b7118c2e162b92c4c4730a46fdc,2.5,C+,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,47.0,38.0,32.0,80.0,9,0.12162162162162163
1460ac1cd8a2effa5b27bc1e1ccbb3b6d65ed7d4c3317dcc657bba44ff2d2e6f,4.0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,16.0,24.0,0.0,50.0,14,0.1891891891891892
b29002793a1dd918a94aee2ff621e967bbd34581abf16364a96960172259c9e6,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.0,10.0,0.0,20.0,20,0.2702702702702703
51e61531dd9a50fce14c3bcd7ef6e36739165fb7775fda10629095da08ecdd60,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,56.0,86.0,36.0,100.0,41,0.5540540540540541
2ad900cc095153bb20ba7781b3d1cda742dc8729895e02ad0ecac1070e3e5397,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,38.0,57.0,9.0,100.0,20,0.2702702702702703
9e7fe8b1e5bb5594ee6192be674d9eb023692b4cf5bf0262fc6710c3c585a578,3.0,B,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,47.0,29.0,41.0,60.0,31,0.4189189189189189
c78ff209c36f208a5e681c9c25844d814aecec1f51ebf304c14b85a8b10cea4e,4.5,A+,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,41.0,33.0,27.0,70.0,23,0.3108108108108108
fec6634e7c55023f95261911fe6c38626cffe3abf3487cc7f50cb01d37c76856,1.5,D+,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,28.0,29.0,14.0,60.0,10,0.13513513513513514
838ea162df9121ea4a6341c5d2c9c3a02635c2a94bc1bda493b02c69c61a5ac1,0.5,MF,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,31.0,24.0,23.0,50.0,7,0.0945945945945946
9aef1b4070367b254fb75078e1a4553297207247f46cd75de4aea5e2b6039d55,3.0,B,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,25.0,24.0,14.0,50.0,21,0.28378378378378377
e2a71c0e6faa3db0e2e7ce113622e59d7a13b1a688bf7c4ee65d25611feafb5b,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,50.0,76.0,36.0,80.0,74,1.0
bc2275bdc27daeaf72e21a4e270134b83c642b30813dd3fa3e11275e6850d873,2.0,C,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,22.0,24.0,14.0,40.0,11,0.14864864864864866
f627da224925836541066298b63bcb3ebd5a6dee01d00182cb1dbea5b9bf284e,2.0,C,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19.0,14.0,18.0,20.0,18,0.24324324324324326
19cd81b59a6cd32a66ca1cf102bc4c35b4d762df4fc4e1ba1db3fd1ab7c5cbd1,3.0,B,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,44.0,48.0,18.0,100.0,25,0.33783783783783783
bb1bbe306dc569ad634e660949f2f69e80ddc6235562ac7b3721d03b83e67e8f,0.5,MF,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.0,5.0,27.0,10.0,12,0.16216216216216217
91c224044959b8087fdc57d505f7bf09e0f9e60d5762ac3899d2a4076c2ac756,2.5,C+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,12.0,19.0,5.0,30.0,26,0.35135135135135137
046ce53ca88a797e59a79e966ac43bdd32576c20bd31dc62639d9fe6bed9130e,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.0,14.0,9.0,10.0,13,0.17567567567567569
56402ed7eb5ecbf04293d796430f45756e19daf2a033c1eb2c8deb30704fccf0,0.0,NS,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.0,5.0,27.0,10.0,9,0.12162162162162163
76cfa1496920f6152536ee268e62f4712a20c42355d6e2a74e81c040920cc431,3.0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,16.0,19.0,9.0,30.0,7,0.0945945945945946
e4c26e523bdbd0d97a3ff8911b7688df90dfa4b17b0c1a84d626652e2b3c5192,4.5,A+,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,59.0,38.0,50.0,80.0,40,0.5405405405405406
a3d84c56f299e544c17e4f64a440945c3eb5eb81a2d64a60c07cf87fce49def2,3.5,B+,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,53.0,29.0,50.0,60.0,42,0.5675675675675675
b197e593382de925b2c13940784a7b59dee6c1f99e4d6c8784eaf1ddbdc81494,2.0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.05405405405405406
3b7586c46b24fdcfe813a0021a764e94da301543e1193401b78372753970ee8b,0.0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,10.0,9.0,0.0,5,0.06756756756756757
7ec7412b1bf528ea84551d5ef407d4b1682132332245e4e53d24abf89c78bf88,0.0,NS,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,16.0,10.0,14.0,20.0,1,0.013513513513513514
cd2387516f198e036b36f9ed62e98b8e7bbf82782cb5c50a72902bd3bc8c1dea,2.0,C,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,47.0,33.0,36.0,70.0,35,0.47297297297297297
ad028fa46daae07f94687dcd8846ddb08a0474a71e84fd409b4a36bd2eddf121,2.5,C+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,5.0,0.0,18,0.24324324324324326
58fc7252c4698e1d0427ea8cb512bfb73e06609906d546a967b30dc26776789d,0.0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
